Lat,Lon,NAME,LENGTH_M
0.701089107,-154.4092448,SHANGRILA,12332.06161
1.097849189,-155.2747134,SHANGRILA,85259.47789
0.911001196,-154.563154,SHANGRILA,59846.47854
-0.305033333,-152.7239057,SHANGRILA,164769.5919
0.566172825,-153.8567637,SHANGRILA,58350.38438
0.47816507,-153.775508,SHANGRILA,43714.94544
0.145019239,-153.3579605,SHANGRILA,36555.94254
-0.483820126,-152.0884415,SHANGRILA,149357.0149
-0.040892997,-153.0785068,SHANGRILA,11558.92699
-0.168730983,-152.8199667,SHANGRILA,25259.58551
-0.03572415,-152.9432024,SHANGRILA,69571.8692
0.411837009,-153.5502134,SHANGRILA,70425.34624
0.019864034,-152.985082,SHANGRILA,13078.89847
-0.253272432,-152.475941,SHANGRILA,41134.78732
-0.338232334,-152.1639448,SHANGRILA,73742.70803
-0.648603331,-151.4913905,SHANGRILA,70054.24382
-0.719659347,-151.4105574,SHANGRILA,58569.84718
-0.864270645,-151.1416198,SHANGRILA,34942.71947
-0.870099989,-150.9952985,SHANGRILA,16432.85423
-1.263663037,-150.201486,SHANGRILA,59520.80179
-1.264931156,-150.3458342,SHANGRILA,15880.87768
-1.135182253,-150.7641012,SHANGRILA,11235.96446
-1.280341595,-150.5771551,SHANGRILA,29428.0728
-1.54741902,-150.1085045,SHANGRILA,38424.19151
-1.55948784,-150.4370116,SHANGRILA,9727.023823
-1.795976318,-149.6418052,SHANGRILA,78191.67677
-2.078227129,-148.9489346,SHANGRILA,71593.95588
-2.203388611,-148.3064595,SHANGRILA,92986.37748
-2.472501076,-147.739209,SHANGRILA,36974.22671
-2.118377554,-148.9643186,SHANGRILA,62547.6752
-2.028704844,-149.474267,SHANGRILA,18115.94127
-2.347248797,-148.3391462,SHANGRILA,88815.85897
-2.347571684,-148.4853314,SHANGRILA,20646.8617
-1.344051883,-150.3127871,SHANGRILA,24100.88798
-1.428397941,-150.2233682,SHANGRILA,11931.90114
-1.441799739,-150.1374371,SHANGRILA,5977.994711
-1.597440601,-149.8888598,SHANGRILA,12473.45946
-1.556871281,-149.8478642,SHANGRILA,11428.26647
-1.509559903,-149.8458537,SHANGRILA,9028.594235
-1.497577998,-149.7486484,SHANGRILA,17226.49064
-1.142221893,-150.3185204,SHANGRILA,34726.82508
-1.30597575,-149.9852435,SHANGRILA,30077.62133
-1.219732676,-149.8667775,SHANGRILA,36101.41212
-1.072198085,-150.1830137,SHANGRILA,27631.5748
-1.017252347,-150.1961402,SHANGRILA,25602.20339
-1.537112425,-149.2571146,SHANGRILA,42021.30701
-1.640251787,-148.6175204,SHANGRILA,30698.77647
-1.707120245,-148.8708031,SHANGRILA,36947.59119
-1.765823514,-148.8627396,SHANGRILA,59846.46593
-1.734891306,-149.2513022,SHANGRILA,21714.08464
-1.844789753,-148.8412913,SHANGRILA,46247.17168
-2.016736711,-148.2029933,SHANGRILA,49866.14953
-2.085632281,-148.1148888,SHANGRILA,25788.7542
-1.911378924,-149.1516964,SHANGRILA,30312.32157
-1.947240064,-148.8141807,SHANGRILA,35818.37596
-2.018637963,-148.5656169,SHANGRILA,23173.88813
-2.181423822,-148.0815938,SHANGRILA,14793.52899
-2.140706388,-148.2628419,SHANGRILA,29827.46213
-2.204387372,-148.2077777,SHANGRILA,13472.33711
-2.32954291,-148.1632406,SHANGRILA,13095.74588
-2.505564826,-147.9999914,SHANGRILA,25388.28451
-2.474098251,-147.8281588,SHANGRILA,16912.05748
-2.568814266,-147.7542246,SHANGRILA,25408.86094
-1.699154209,-148.7365149,SHANGRILA,31983.72124
-1.65911159,-148.6692996,SHANGRILA,19509.38165
4.71236166,-151.9761729,SHANGRILA,35260.08169
4.766068793,-152.472709,SHANGRILA,13574.68277
4.956169485,-153.1831896,SHANGRILA,67949.88968
5.041297533,-154.1660451,SHANGRILA,22313.71147
4.931003516,-154.2972728,SHANGRILA,32475.12888
4.87837525,-154.7624856,SHANGRILA,21227.28983
4.954731254,-154.7484081,SHANGRILA,15041.34956
5.107217724,-153.6756151,SHANGRILA,75653.17011
5.131959395,-154.3092545,SHANGRILA,34144.1853
5.182281978,-153.6988841,SHANGRILA,87777.2531
5.251035025,-153.7097397,SHANGRILA,84664.77971
5.318671136,-153.6302609,SHANGRILA,91389.6635
5.112710368,-152.3864326,SHANGRILA,18832.15058
5.172782566,-152.5233678,SHANGRILA,10755.25387
5.382367272,-153.854774,SHANGRILA,67168.5767
5.472122761,-154.2877962,SHANGRILA,45117.70191
5.078330464,-151.7427837,SHANGRILA,25745.55174
4.771199646,-154.3245247,SHANGRILA,15397.45868
4.719863425,-154.556752,SHANGRILA,11417.31875
4.213581944,-155.0074741,SHANGRILA,87751.95508
4.281158986,-154.688304,SHANGRILA,66368.10912
4.451524664,-155.8798245,SHANGRILA,7503.758621
4.395515231,-155.563341,SHANGRILA,22483.86568
4.369255649,-154.6129136,SHANGRILA,56237.25169
4.533110594,-156.9155065,SHANGRILA,36577.27146
4.596733968,-157.3059897,SHANGRILA,29106.71737
4.384880611,-156.5765095,SHANGRILA,15943.19141
4.683440759,-157.1956878,SHANGRILA,12726.55384
4.5692165,-156.8745744,SHANGRILA,41929.66541
4.335353281,-156.1319338,SHANGRILA,52871.33886
4.182695977,-155.1732113,SHANGRILA,22397.91831
4.091352039,-154.56663,SHANGRILA,38222.75858
4.117713365,-154.3729095,SHANGRILA,10654.8817
4.1504096,-155.2642042,SHANGRILA,17719.27022
4.16923979,-155.6197066,SHANGRILA,26835.10419
4.05842685,-155.2085548,SHANGRILA,9491.730035
4.606630541,-154.5353908,SHANGRILA,30854.42298
4.500813883,-154.4660004,SHANGRILA,44229.69544
4.439532997,-154.2878825,SHANGRILA,18715.54729
4.496292519,-154.97844,SHANGRILA,20556.3874
4.484314886,-155.3352704,SHANGRILA,31753.5396
4.57281735,-155.9107159,SHANGRILA,16534.00815
4.439070588,-155.4113729,SHANGRILA,11066.89241
4.517112914,-155.9409453,SHANGRILA,10138.42999
4.624080842,-155.0370668,SHANGRILA,19088.30758
4.622932182,-155.8309197,SHANGRILA,25683.37748
4.727923923,-156.1577864,SHANGRILA,6275.36399
4.741802883,-156.3243607,SHANGRILA,12631.22481
4.812345373,-156.6098147,SHANGRILA,12490.457
4.957462218,-156.9553593,SHANGRILA,62634.82107
5.205685138,-157.3816456,SHANGRILA,8380.848635
5.330878992,-157.465035,SHANGRILA,9865.690631
4.975001433,-156.7590745,SHANGRILA,54264.20887
4.972667468,-156.8715714,SHANGRILA,13729.68279
4.889519,-156.4965226,SHANGRILA,24853.85222
4.861742363,-156.2434273,SHANGRILA,13613.44733
4.669149486,-155.7399691,SHANGRILA,46288.89158
4.69384881,-155.3982743,SHANGRILA,51317.19851
4.722688697,-155.8284283,SHANGRILA,10744.36489
4.697923968,-155.1601294,SHANGRILA,50836.46551
4.809190349,-155.7420728,SHANGRILA,19206.46365
4.792836639,-155.4677436,SHANGRILA,31889.31854
4.881428815,-155.6836689,SHANGRILA,36852.06612
4.912571679,-155.5437622,SHANGRILA,18548.97168
4.972264215,-155.9286182,SHANGRILA,34534.93975
5.050220525,-156.1119278,SHANGRILA,32433.50608
5.105878456,-156.2263194,SHANGRILA,41267.37022
5.013377788,-155.7927312,SHANGRILA,7656.421089
5.052079971,-156.4275464,SHANGRILA,16829.11209
